question_id;question_type;image_name;question;answer;image_id
265814016;is this a;COCO_train2014_265814.jpg;Is this a double decker bus?;yes;265814
265814017;is that a;COCO_train2014_265814.jpg;Is that a car?;yes;265814
458752003;is this;COCO_train2014_458752.jpg;Is this man a professional baseball player?;yes;458752
6357002;is the;COCO_train2014_6357.jpg;Is the little girl making her bed?;no;6357
131498000;is there;COCO_train2014_131498.jpg;Is there ketchup on the food?;no;131498
131498002;is there a;COCO_train2014_131498.jpg;Is there a napkin?;no;131498
131498003;is this a;COCO_train2014_131498.jpg;Is this a healthy meal?;no;131498
328106004;is this a;COCO_train2014_328106.jpg;Is this a controlled environment?;no;328106
134185005;is this;COCO_train2014_134185.jpg;Is this the store open?;no;134185
197886000;is the man;COCO_train2014_197886.jpg;Is the man riding his bike across a bridge?;no;197886
197886001;is the;COCO_train2014_197886.jpg;Is the car coming to pick the man up?;no;197886
197886003;is this;COCO_train2014_197886.jpg;Is this bike designed to race?;yes;197886
197886004;is this;COCO_train2014_197886.jpg;Is this at a construction site?;no;197886
197886006;are there;COCO_train2014_197886.jpg;Are there two bicycles?;no;197886
197886008;is this a;COCO_train2014_197886.jpg;Is this a normal bike?;yes;197886
399016001;none of the above;COCO_train2014_399016.jpg;Can this animal fly?;yes;399016
399016002;is this a;COCO_train2014_399016.jpg;Is this a hungry finch?;yes;399016
397181000;does this;COCO_train2014_397181.jpg;Does this bed need to be made?;no;397181
327549000;was;COCO_train2014_327549.jpg;Was this picture taken outdoors?;yes;327549
327549001;is this;COCO_train2014_327549.jpg;Is this the usual color of a fire hydrant?;no;327549
397181003;are the;COCO_train2014_397181.jpg;Are the blinds open in this room?;no;397181
397181004;is;COCO_train2014_397181.jpg;Is anybody in the bed?;no;397181
397181005;are;COCO_train2014_397181.jpg;Are all the lamps on?;yes;397181
397181006;is this;COCO_train2014_397181.jpg;Is this bed made?;yes;397181
395346000;are they;COCO_train2014_395346.jpg;Are they married couple?;yes;395346
395346001;none of the above;COCO_train2014_395346.jpg;Did they ride on an elephant?;yes;395346
397181008;is the;COCO_train2014_397181.jpg;Is the lamp on?;yes;397181
397181009;is the;COCO_train2014_397181.jpg;Is the bedspread patterned?;no;397181
399442002;are they;COCO_train2014_399442.jpg;Are they in a foreign country?;no;399442
397181013;is the;COCO_train2014_397181.jpg;Is the bed made?;yes;397181
399442003;are these;COCO_train2014_399442.jpg;Are these men soldiers?;no;399442
135463002;could;COCO_train2014_135463.jpg;Could this be in the USA?;yes;135463
135463005;is this a;COCO_train2014_135463.jpg;Is this a traffic jam?;no;135463
137724000;is this a;COCO_train2014_137724.jpg;Is this a classroom?;no;137724
137724002;is this a;COCO_train2014_137724.jpg;Is this a classroom?;no;137724
531366000;is this a;COCO_train2014_531366.jpg;Is this a farm?;yes;531366
531366001;are they;COCO_train2014_531366.jpg;Are they feeding the animals?;no;531366
2982002;is the;COCO_train2014_2982.jpg;Is the train leaving the station?;yes;2982
531366002;is this;COCO_train2014_531366.jpg;Is this in nature?;no;531366
267813002;do;COCO_train2014_267813.jpg;Do these people appear overweight?;yes;267813
1999002;are the;COCO_train2014_1999.jpg;Are the two luggage pieces the same design?;yes;1999
135332000;are the;COCO_train2014_135332.jpg;Are the kitchen lights on?;yes;135332
262308001;is there a;COCO_train2014_262308.jpg;Is there a fork on the plate?;no;262308
262308002;is this;COCO_train2014_262308.jpg;Is this black and white?;yes;262308
135332002;is this a;COCO_train2014_135332.jpg;Is this a new apartment?;yes;135332
4260002;can you;COCO_train2014_4260.jpg;Can you eat this?;yes;4260
532644000;is the;COCO_train2014_532644.jpg;Is the water muddy?;yes;532644
526713000;are the;COCO_train2014_526713.jpg;Are the giraffes happy?;yes;526713
526713001;are there;COCO_train2014_526713.jpg;Are there more animals?;yes;526713
526713002;are the;COCO_train2014_526713.jpg;Are the giraffe's standing in mud?;no;526713
526713004;are the;COCO_train2014_526713.jpg;Are the giraffes afraid of the horses?;no;526713
526713007;are the;COCO_train2014_526713.jpg;Are the giraffes all facing the same direction?;yes;526713
526713009;is the;COCO_train2014_526713.jpg;Is the giraffe a loner?;no;526713
526713010;are the;COCO_train2014_526713.jpg;Are the giraffes walking to the right?;no;526713
526713013;are the;COCO_train2014_526713.jpg;Are the giraffes moving toward the camera?;yes;526713
269091000;is it;COCO_train2014_269091.jpg;Is it cold here?;no;269091
394658002;is;COCO_train2014_394658.jpg;Is she a murderer of limes?;no;394658
394658003;is this a;COCO_train2014_394658.jpg;Is this a child?;no;394658
241271000;none of the above;COCO_train2014_241271.jpg;Will the guys finish the pizza?;no;241271
241271001;is the;COCO_train2014_241271.jpg;Is the pizza small?;no;241271
372343000;could;COCO_train2014_372343.jpg;Could it be early spring?;yes;372343
427852001;is the man;COCO_train2014_427852.jpg;Is the man in the background on the left wearing a watch?;yes;427852
427852002;are there;COCO_train2014_427852.jpg;Are there French fries?;no;427852
427852003;is this a;COCO_train2014_427852.jpg;Is this a steak?;no;427852
458785002;are;COCO_train2014_458785.jpg;Are all the people looking at the same thing?;no;458785
4555000;does the;COCO_train2014_4555.jpg;Does the building have a clock on it?;yes;4555
262603001;is it;COCO_train2014_262603.jpg;Is it raining?;no;262603
262603002;is the;COCO_train2014_262603.jpg;Is the sun shining?;yes;262603
4555003;is there;COCO_train2014_4555.jpg;Is there an obelisk?;yes;4555
